MI,No.overlap
0.350350439,5060
0.116419081,1924
1.180192833,16166
0.413337252,5898
0.127129153,2064
0.417861355,5950
0.165154341,2571
0.201012089,3050
0.41833382,5951
0.476234252,6724
0.548971627,7694
0.230693149,3442
0.206858387,3123
0.436931867,6191
0.310190393,4500
0.160720835,2506
0.504673294,7087
0.073154004,1333
0.69116398,9539
0.349827336,5003
0.279426512,4068
0.605977379,8398
0.145797708,2294
0.930646319,12686
0.456978748,6404
0.072575642,1319
0.551596207,7652
1.235295975,16658
0.022288214,651
0.784482156,10666
0.266548718,3845
0.668387214,9096
1.037519823,13865
0.68563679,9280
0.204039406,3008
0.270563559,3868
0.280379248,3995
0.35880424,5012
0.261313662,3746
0.207579255,3043
1.09637943,14560
0.028950701,725
0.213072961,3102
0.261809608,3728
0.672194748,9018
0.650888815,8728
0.242872203,3475
0.465345521,6332
0.177238574,2617
0.513006219,6913
0.13026425,2010
0.308527015,4279
0.2969414,4131
0.031013707,740
0.438947725,5916
1.105649213,14340
0.176994448,2584
0.619507033,8170
0.543654008,7199
0.274687895,3805
0.219533911,3108
0.526376972,6954
0.29057355,3988
0.568909268,7479
0.283596008,3888
0.209957488,2965
0.062954256,1126
0.302342962,4105
0.265482241,3639
0.47277246,6213
0.146141583,2148
0.745921813,9568
0.225000474,3114
0.324222354,4336
0.228567446,3153
0.280078708,3786
0.545933733,7052
0.456825208,5938
0.320596458,4256
0.118231744,1779
0.056619549,1025
0.071577678,1207
0.28911945,3861
0.148433,2143
0.142221815,2067
0.208711183,2877
0.872979708,10967
0.202558935,2797
0.251512234,3387
0.161618742,2285
0.446906144,5735
0.645483541,8137
0.168024833,2359
0.419908571,5398
0.340775125,4430
0.630607532,7906
0.29417214,3862
0.657387096,8217
0.164595967,2300
0.255176738,3386
0.014692199,502
0.353727079,4566
0.247393381,3284
0.354966909,4569
0.20473952,2770
0.578810548,7227
0.337885418,4348
0.171211583,2358
0.62708401,7774
0.322264422,4139
0.524398011,6523
0.198510509,2668
0.674245802,8289
0.450195809,5640
0.133894686,1903
0.344808087,4392
0.335827479,4281
0.262473061,3412
0.225225332,2972
0.326437413,4159
0.207014213,2746
0.388998015,4877
0.171210823,2314
0.193370363,2565
0.211020231,2768
0.666816023,8063
0.418286149,5173
0.797573135,9574
0.365189195,4548
0.35132225,4386
0.296338321,3747
0.413005795,5090
0.180389258,2400
0.135127556,1871
0.161522708,2173
0.072411338,1146
0.569861145,6854
0.416278527,5089
0.959635108,11318
0.668374034,7933
0.253476677,3201
0.13124094,1806
0.2097317,2698
0.245310165,3103
0.369301488,4509
0.193897736,2514
0.388796375,4730
0.082517055,1245
0.433495329,5221
0.447487811,5374
0.794705467,9295
0.328051635,4017
0.316305571,3880
0.186979288,2409
0.068903055,1080
0.672321324,7853
0.33671471,4072
0.153204906,2017
0.478783851,5645
0.351868255,4228
0.12784846,1726
0.059179034,961
0.069366946,1074
0.240377785,2974
0.45997493,5406
0.816186197,9352
0.363871545,4334
0.472614114,5532
0.22191446,2756
0.088154684,1275
0.241062936,2964
0.165286209,2126
0.036983336,708
0.320912346,3840
0.915710261,10400
0.546470254,6322
0.203540352,2542
0.2915966,3511
0.273947233,3316
0.262430496,3187
0.230305984,2832
0.307648695,3682
0.471340097,5474
0.168044472,2141
0.249628892,3032
0.516072273,5941
0.163665572,2086
0.200979111,2492
0.628303547,7150
0.324523384,3835
0.132887186,1743
0.161805862,2051
0.796471386,8920
0.775646077,8668
0.145397465,1862
0.694688626,7780
0.713593688,7983
0.014664609,451
0.131970777,1715
0.449505372,5132
0.282845001,3333
0.293064268,3440
0.246362912,2936
0.159252433,2000
0.455296396,5174
0.313335775,3648
0.189252366,2316
0.394994135,4517
0.329543187,3816
0.317159149,3679
0.482054212,5440
0.430015237,4884
0.098572638,1343
0.021721847,522
0.281207061,3291
0.758191037,8379
1.112907765,12133
0.100048062,1353
0.252718645,2975
0.251242428,2957
0.184747035,2250
0.736027231,8094
0.273444532,3187
0.230384488,2729
0.27534139,3205
0.252596388,2963
0.236888183,2793
0.196995472,2371
0.034220291,649
0.04244378,734
0.180268202,2186
0.169451232,2072
0.161233312,1985
0.161816792,1984
0.202764705,2412
0.153433754,1893
0.776213637,8398
0.171088697,2071
0.223751573,2616
0.44140203,4881
0.739545676,7976
0.290803298,3305
0.340464864,3820
0.349752489,3914
0.466985495,5130
0.654477748,7061
0.797811699,8543
0.156072247,1895
0.150332186,1835
0.410983339,4521
0.170947786,2042
0.39381271,4338
0.398679584,4384
0.65143804,6982
0.066597867,964
0.144608566,1765
0.390078161,4285
0.356549313,3931
0.9682042,10183
0.393748715,4305
0.391803019,4285
0.465315157,5034
0.442376667,4799
0.59735963,6381
0.663057762,7044
0.228576308,2610
0.198766589,2303
0.217945592,2497
0.16928931,2000
0.207526856,2388
0.216660118,2475
0.122961511,1522
0.235666443,2663
0.015888738,436
0.189255717,2190
0.138193343,1670
0.297727553,3274
0.352240817,3819
0.85166925,8842
0.19956194,2276
0.028931289,563
0.457387134,4856
0.460404207,4873
0.118010539,1450
0.328486123,3549
0.543515501,5678
0.495927793,5203
0.062500331,892
0.156054257,1821
0.293909631,3190
0.474410848,4978
0.136457919,1624
0.085843456,1120
0.562311483,5841
0.219504977,2444
0.227860687,2526
0.30424293,3276
0.585759531,6055
0.164884402,1896
0.015393074,420
0.171740676,1962
0.379660408,4012
0.146548437,1713
0.122684425,1477
0.339928697,3608
0.170005257,1937
0.094780501,1197
0.354188625,3740
0.095169874,1199
0.205639623,2278
0.600105184,6135
0.023328048,494
0.456782743,4728
0.433288684,4489
0.380350533,3971
0.242535881,2627
0.296621177,3153
0.603881631,6141
0.13366745,1562
0.345204295,3616
1.080427917,10748
0.022749397,484
0.231626153,2505
0.196713519,2167
0.431761082,4439
0.386094452,3988
0.28786644,3039
0.359543604,3730
0.500750678,5090
0.38784986,3998
0.670440912,6713
0.244793885,2611
0.5433063,5474
0.388724768,3989
0.367702078,3781
0.398514382,4071
0.11531165,1362
0.829352007,8176
0.17452776,1925
0.026447786,511
0.156089925,1745
0.084578031,1063
0.049919992,733
0.165452077,1827
0.176523074,1931
0.125993142,1452
