gene_id,cell type,type
KDM3A,CD4,OSE
CREBBP,CD4,OSE
CD74,CD4,OSE
ZNF239,CD4,OSE
AMPD3,CD4,OSE
UBL4A,CD4,OSE
RFC1,CD4,OSE
SH3BP2,CD4,OSE
TXNIP,CD4,OSE
SET,CD4,OSE
ZBTB17,CD4,OSE
FASTKD3,CD4,OSE
BTLA,CD4,OSE
DUSP10,CD4,OSE
WDR26,CD4,OSE
WDR27,CD4,OSE
CIB1,CD4,OSE
SLC35C2,CD4,OSE
LYSMD2,CD4,OSE
CLIC3,CD4,OSE
SEPHS1,CD4,OSE
KIAA0913,CD4,OSE
TMEM149,CD4,OSE
TRIT1,CD4,OSE
DLST,CD4,OSE
RNF149,CD4,OSE
PUM1,CD4,OSE
SMEK1,CD4,OSE
C18orf1,CD4,OSE
SLAMF6,CD4,OSE
FAM117B,CD4,OSE
RNF145,CD4,OSE
SAPS1,CD4,OSE
BC037918,CD4,OSE
NFYC,CD4,OSE
ZMAT3,CD4,OSE
C11ORF65,CD4,OSE
GAL3ST4,CD4,OSE
CNIH4,CD4,OSE
C6orf105,CD4,OSE
YWHAQ,CD4,OSE
SUPT3H,CD4,OSE
ARHGDIB,CD4,OSE
YWHAB,CD4,OSE
COPG,CD4,OSE
CDC42EP3,CD4,OSE
NINJ1,CD4,OSE
CARD11,CD4,OSE
UBE2H,CD4,OSE
MLL,CD4,OSE
MFSD6,CD4,OSE
KIAA0652,CD4,OSE
UCP2,CD4,OSE
PBX2,CD4,OSE
SLA,CD4,OSE
IFI44,CD4,OSE
ABI3,CD4,OSE
ROCK1,CD4,OSE
GPR132,CD4,OSE
SP100,CD4,OSE
CMKLR1,CD4,OSE
IMMT,CD4,OSE
PMAIP1,CD4,OSE
UBE2J1,CD4,OSE
ADD1,CD4,OSE
C7orf50,CD4,OSE
PPP1R3F,CD4,OSE
MAP3K8,CD4,OSE
IL12RB1,CD4,OSE
GSDMB,CD4,OSE
CCDC91,CD4,OSE
CBFA2T2,CD4,OSE
C9orf89,CD4,OSE
DMTF1,CD4,OSE
CTSB,CD4,OSE
CUL1,CD4,OSE
RNF138,CD4,OSE
C2ORF61,CD4,OSE
USP35,CD4,OSE
SLC15A4,CD4,OSE
ZNF526,CD4,OSE
ORMDL3,CD4,OSE
OXSR1,CD4,OSE
RAB43,CD4,OSE
FKBP1A,CD4,OSE
ZBTB24,CD4,OSE
RNF157-AS1,CD4,OSE
CNST,CD4,OSE
DOCK2,CD4,OSE
SP140,CD4,OSE
CRTC1,CD4,OSE
HELB,CD4,OSE
NDRG1,CD4,OSE
HSPE1-MOB4,CD4,OSE
LY86,CD4,OSE
KANSL3,CD4,OSE
UBAP2L,CD4,OSE
LOC100507557,CD4,OSE
HCP5,CD4,OSE
BC040833,CD4,OSE
MIER1,CD4,OSE
TMEM70,CD4,OSE
FNDC3A,CD4,OSE
B4GALT5,CD4,OSE
CTLA4,CD4,OSE
GBP2,CD4,OSE
GBP5,CD4,OSE
CCM2,CD4,OSE
UBA7,CD4,OSE
GRLF1,CD4,OSE
UBA3,CD4,OSE
GIMAP5,CD4,OSE
GBP4,CD4,OSE
C21ORF91,CD4,OSE
KRTAP12-3,CD4,OSE
UBE2M,CD4,OSE
KRTAP12-4,CD4,OSE
PRTFDC1,CD4,OSE
DSCR3,CD4,OSE
GLB1L,CD4,OSE
GPR171,CD4,OSE
HERC4,CD4,OSE
AP4B1-AS1,CD4,OSE
SGK223,CD4,OSE
SH2D1A,CD4,OSE
CD5,CD4,OSE
C12orf11,CD4,OSE
CD2,CD4,OSE
HADV36S1,CD4,OSE
AV4S1,CD4,OSE
GIMAP7,CD4,OSE
